id,district_id,title,description,image_url,lng,lat,sort_order,created_at
44aaa40b-81df-40c7-93a0-796668f06c86,gdovsky,Гдовская крепость,"Древняя крепость XIV века, являющаяся символом района. Сохранившиеся стены и башни напоминают о богатой военной истории этих мест.",/images/gdov_fortress.jpg,27.820456,58.740088,0,2026-04-21 07:15:42.535868+00
73d351ab-fb8e-4f43-ad91-07a79f118b5a,gdovsky,Природные ландшафты и заповедные зоны,"Лесные массивы, озёрные берега и природные маршруты, привлекающие любителей экотуризма и спокойного отдыха.",/images/gdov_nature.jpg,,,3,2026-04-21 07:15:42.535868+00
b6b6432e-b573-4b45-acf6-aedf868e8595,gdovsky,Древние храмы Гдова,"Православные церкви с многовековой историей, старинной архитектурой и культурным наследием, сохранившие атмосферу прошлого.",/images/gdov_church.jpg,,,2,2026-04-21 07:15:42.535868+00
246bf1f0-c7c1-4056-86c9-33c9b4d00217,gdovsky,Приозёрные деревни и культурные традиции,"Поселения с уникальной приозёрной атмосферой, народными традициями, ремёслами и историческим укладом жизни.",/images/gdov_villages.jpg,,,4,2026-04-21 07:15:42.535868+00
6982131c-eecc-4c37-a3ab-0002191d2bdd,gdovsky,Чудское озеро,"Крупнейшее озеро региона, известное своей природной красотой, рыболовными местами и историческими событиями, включая Ледовое побоище.",/images/gdov_chudskoye_lake.jpg,27.581848,58.750425,1,2026-04-21 07:15:42.535868+00
097cb521-2057-48cf-83a0-cd0e8e6041cc,kuninsky,Музей-усадьба М. П. Мусоргского,"Музыкально-мемориальный музей Псковской области, филиал Псковского государственного историко-архитектурного и художественного музея-заповедника. Единственный в мире музей, посвящённый жизни и творчеству русского композитора Модеста Петровича Мусоргского. Основан в 1968 году. Размещён в бывшем родовом имении Чириковых, родителей матери Мусоргского, который часто гостил в усадьбе в 1839—1849 годах. В музейном собрании — более 3 тысяч экспонатов.",,31.325801,56.272241,0,2026-04-21 07:28:47.516255+00
559646eb-896a-444d-83aa-4b2d1e55861c,ostrovsky,Цепные мосты,"Два висячих моста в городе Остров Псковской области, памятник строительной техники и архитектуры. Это единственные цепные транспортные мосты середины XIX века, сохранившиеся на территории России.",/images/ostrovsky_village.jpg,28.352470,57.340610,3,2026-04-21 07:15:42.535868+00
e35b9388-4886-46a9-941a-9d16a7aa919c,ostrovsky,Островский собор,"Главный храм района с богатым историческим прошлым, уникальными фресками и архитектурными деталями.",/images/ostrovsky_cathedral.jpg,,,1,2026-04-21 07:15:42.535868+00
e148200a-4e14-4c1c-95cd-0333b7e3a9ca,ostrovsky,Озеро Писарево,"Живописное озеро, популярное для отдыха, рыбалки и прогулок на природе. Обрамлено лесами и деревнями с традиционным укладом.",/images/ostrovsky_lake.jpg,,,2,2026-04-21 07:15:42.535868+00
22df1f6a-e76d-4395-8d09-648059d873cd,ostrovsky,Памятник Герою Советского Союза Клавдии Назаровой,"Руководитель Островской подпольной комсомольской организации, в годы Великой Отечественной войны организовала подпольную комсомольскую группу.",/images/Clavdia_Nazarava.jpg,,,4,2026-04-21 07:15:42.535868+00
d0234125-2914-4bb8-8ebd-b415f179d3e8,ostrovsky,Островская крепость,"Бывшая крепость в городе Остров Псковской области, крупнейшее военно-оборонительное сооружение Древней Руси теперь лишь имеет малую уцелевшую часть.",/images/ostrov__razvaliny_kreposti.jpg,,,0,2026-04-21 07:15:42.535868+00
7d10009d-6845-4408-a305-b9a374f4bc1c,pechorsky,Псково-Печерский монастырь,"История монастыря началась в далёком 1392 году со знаменитых пещер, которые были открыты за 80 лет до основания обители. Это не только место упокоения многих святых, но и уникальный памятник-некрополь, не имеющий аналогов по полноте и сохранности надгробных плит. Псково-Печерский монастырь никогда не закрывался, даже в советский период. Сегодня это одна из самых крупных и известных в стране мужских обителей.",,27.614847,57.810103,0,2026-04-21 07:28:45.547182+00
f2b673bf-129d-452c-a321-20cb9c1dc9e3,pechorsky,Словенские ключи,"Двенадцать источников, образующих каскад водопадов и сливающихся в единую реку, которая тут же впадает в Городищенское озеро. Вода здесь даже в жару ледяная и очень чистая, так как проходит через слои песка и известняка. Источники не замерзают зимой. Ещё одно их название — ключи Двенадцати апостолов. Популярны как природный объект и православная святыня.",,27.859836,57.714559,2,2026-04-21 07:28:46.18873+00
630e1966-79e4-419e-9551-3652bb67b846,pechorsky,Музей-усадьба народа сето,"На протяжении долгих столетий в приграничных районах эстонской и русской земель проживал народ сето. Несмотря на то, что в XVI веке его представители приняли православие, в народной культуре до сих пор помнят языческие ритуалы. Музей-усадьба в деревне Сигово — единственный в России музей сето. Он расположился в подлинной усадьбе семьи Кюлаотс. Экскурсии проводят представители сето из ближайших деревень.",,27.665324,57.711350,3,2026-04-21 07:28:46.510881+00
04b540c7-3cda-4879-a95d-308aa18e23a9,pechorsky,Изборская крепость,"Изборская крепость была построена в 1330 году псковским посадником Шелогой. Сегодня это выдающийся памятник оборонного зодчества Древней Руси. С середины XIV века до начала XVI века крепость выдержала восемь крупных осад. Её особенностью является наличие захабов — длинных узких коридоров. Ещё один уникальный объект крепости — тайный ход к воде: наклонная ступенчатая траншея длиной около 40 метров, перекрытая сводом, ведущая к колодцу-роднику.",,27.860358,57.710060,1,2026-04-21 07:28:45.865898+00
41a033ff-9abe-4c75-953f-646c4e25782e,plussky,Традиционные сельские поселения,"Деревни с характерной архитектурой, спокойным укладом жизни и сохранившимися ремесленными традициями.",/images/plussky_village.jpg,,,3,2026-04-21 07:15:42.535868+00
